Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Merida (Mexico) - Qualification,hard,header
22.04. 13:40,Rakhimova K.,0,4,1,,,,0,7,57%,45% (17/38),34% (10/29),50% (7/14),41% (19/46),56% (14/25),60% (3/5),40% (27/67),46% (33/71),43% (60/138),4,1,22% (2/9),38% (3/8),29% (5/17),"['1', '1', '3', '3', '4', '4']",[],[],[],[],1.48
CHALLENGER WOMEN - SINGLES :  Oeiras (Portugal),clay,header
17.04. 15:00,Arango E.,0,5,2,,,,0,4,78%,47% (25/53),40% (6/15),45% (5/11),32% (9/28),44% (12/27),60% (3/5),46% (31/68),38% (21/55),42% (52/123),2,0,40% (4/10),30% (3/10),35% (7/20),"['1', '2', '3', '2']","['2', '3']",[],[],[],1.93
17.04. 15:00,Lamens S.,2,7,6,,,,0,1,51%,68% (19/28),56% (15/27),40% (2/5),53% (28/53),60% (9/15),55% (6/11),62% (34/55),54% (37/68),58% (71/123),8,0,70% (7/10),60% (6/10),65% (13/20),"['2', '0', '4', '4', '7', '5']","['3', '1', '4', '2', '6', '2']",[],[],[],1.81
WTA - SINGLES :  Bogota (Colombia),clay,header
03.04. 03:30,Arango E.,0,0,3,,,,0,6,63%,48% (15/31),33% (6/18),38% (3/8),21% (6/29),48% (10/21),33% (1/3),43% (21/49),32% (16/50),37% (37/99),2,1,29% (2/7),13% (1/8),20% (3/15),[],"['2', '1']",[],[],[],1.95
03.04. 03:30,Riera J.,2,6,6,,,,1,5,58%,79% (23/29),52% (11/21),67% (2/3),52% (16/31),67% (12/18),63% (5/8),68% (34/50),57% (28/49),63% (62/99),8,0,88% (7/8),71% (5/7),80% (12/15),"['2', '0', '4', '0', '6', '0']","['3', '3', '5', '3']",[],[],[],1.86
WTA - SINGLES :  Miami (USA),hard,header
23.03. 23:55,Arango E.,0,4,2,,,,2,3,75%,54% (25/46),20% (3/15),0% (0/6),33% (11/33),64% (9/14),60% (3/5),46% (28/61),43% (20/47),44% (48/108),2,0,33% (3/9),33% (3/9),33% (6/18),"['2', '5', '4', '5']","['1', '2']",[],[],[],4.15
23.03. 23:55,Fernandez L.,2,6,6,,,,0,4,70%,67% (22/33),36% (5/14),40% (2/5),46% (21/46),80% (12/15),100% (6/6),57% (27/47),54% (33/61),56% (60/108),8,0,67% (6/9),67% (6/9),67% (12/18),"['2', '0', '4', '0', '6', '4']","['2', '0', '3', '1', '6', '2']",[],[],[],1.24
20.03. 22:20,Arango E.,2,6,6,,,,0,1,87%,61% (33/54),75% (6/8),88% (7/8),45% (10/22),60% (18/30),56% (5/9),63% (39/62),54% (28/52),59% (67/114),8,0,88% (7/8),56% (5/9),71% (12/17),"['1', '0', '3', '0']","['1', '0', '4', '1', '6', '3']",[],[],[],2.63
20.03. 22:20,Maria T.,0,2,3,,,,4,0,42%,55% (12/22),40% (12/30),44% (4/9),39% (21/54),25% (2/8),13% (1/8),46% (24/52),37% (23/62),41% (47/114),2,0,44% (4/9),13% (1/8),29% (5/17),[],"['2', '4']",[],[],[],1.50
WTA - SINGLES :  Miami (USA) - Qualification,hard,header
18.03. 22:15,Arango E.,2,2,7,6,,,2,3,76%,58% (37/64),25% (5/20),30% (3/10),49% (28/57),64% (30/47),47% (9/19),51% (42/83),56% (58/104),53% (100/187),7,0,46% (6/13),64% (9/14),56% (15/27),"['1', '4', '2', '5']","['1', '0', '2', '3', '4', '5', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],2.23
18.03. 22:15,Eala A.,1,6,5,1,,,3,5,55%,51% (29/57),36% (17/47),53% (10/19),42% (27/64),75% (15/20),70% (7/10),44% (46/104),49% (41/83),47% (87/187),3,1,36% (5/14),54% (7/13),44% (12/27),"['2', '0', '4', '0', '5', '1', '6', '2']","['1', '1', '3', '1', '5', '3']",[],[],[],1.62
17.03. 23:00,Arango E.,2,7,5,6,,,3,2,70%,69% (56/81),46% (16/35),69% (9/13),36% (27/74),50% (17/34),45% (5/11),62% (72/116),41% (44/108),52% (116/224),9,0,76% (13/17),29% (5/17),53% (18/34),"['7', '5']","['1', '1', '4', '4']","['4', '4', '6', '4']",[],[],2.33
17.03. 23:00,Day K.,1,5,7,4,,,2,6,69%,64% (47/74),50% (17/34),55% (6/11),31% (25/81),54% (19/35),31% (4/13),59% (64/108),38% (44/116),48% (108/224),1,0,71% (12/17),24% (4/17),47% (16/34),[],"['1', '0', '3', '2', '6', '5']","['3', '2']",[],[],1.57
WTA - SINGLES :  Indian Wells (USA) - Qualification,hard,header
05.03. 03:25,Arango E.,1,6,4,1,,,1,9,57%,58% (28/48),31% (11/36),22% (2/9),45% (26/58),46% (17/37),71% (5/7),46% (39/84),45% (43/95),46% (82/179),2,0,46% (6/13),38% (5/13),42% (11/26),"['3', '2', '5', '2', '6', '3']","['1', '1', '3', '1']",[],[],[],3.85
05.03. 03:25,Andreeva E.,2,3,6,6,,,0,5,61%,55% (32/58),54% (20/37),29% (2/7),42% (20/48),69% (25/36),78% (7/9),55% (52/95),54% (45/84),54% (97/179),8,0,62% (8/13),54% (7/13),58% (15/26),"['3', '5']","['1', '0', '2', '3', '5', '4']","['1', '0', '4', '1', '6', '1']",[],[],1.24
WTA - SINGLES :  Austin (USA),hard,header
28.02. 22:40,Arango E.,0,2,2,,,,1,6,65%,61% (20/33),22% (4/18),44% (4/9),36% (15/42),40% (8/20),10% (1/10),47% (24/51),37% (23/62),42% (47/113),3,0,38% (3/8),13% (1/8),25% (4/16),"['2', '4']",[],[],[],[],4.01
28.02. 22:40,Wang Y.,2,6,6,,,,0,2,68%,64% (27/42),60% (12/20),90% (9/10),39% (13/33),78% (14/18),56% (5/9),63% (39/62),53% (27/51),58% (66/113),7,0,88% (7/8),63% (5/8),75% (12/16),"['2', '1', '4', '1', '5', '2']","['1', '0', '5', '2']",[],[],[],1.26
27.02. 22:10,Arango E.,2,6,6,,,,1,2,71%,72% (23/32),54% (7/13),50% (1/2),49% (17/35),57% (17/30),56% (5/9),67% (30/45),52% (34/65),58% (64/110),6,0,88% (7/8),56% (5/9),71% (12/17),"['3', '2', '5', '2']","['1', '2', '3', '2', '6', '3']",[],[],[],2.62
27.02. 22:10,Parks A.,0,2,3,,,,0,7,54%,51% (18/35),43% (13/30),44% (4/9),28% (9/32),46% (6/13),50% (1/2),48% (31/65),33% (15/45),42% (46/110),4,0,44% (4/9),13% (1/8),29% (5/17),[],"['2', '0']",[],[],[],1.50
CHALLENGER WOMEN - SINGLES :  Puerto Vallarta (Mexico),hard,header
20.02. 07:50,Arango E.,0,5,1,,,,3,5,66%,58% (32/55),36% (10/28),75% (15/20),32% (13/41),48% (19/40),6% (1/17),51% (42/83),40% (32/81),45% (74/164),3,1,50% (5/10),11% (1/9),32% (6/19),"['5', '5']",[],[],[],[],2.43
20.02. 07:50,Starodubtseva Y.,2,7,6,,,,0,2,51%,68% (28/41),53% (21/40),94% (16/17),42% (23/55),64% (18/28),25% (5/20),60% (49/81),49% (41/83),55% (90/164),7,0,89% (8/9),50% (5/10),68% (13/19),"['2', '1', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],1.53
WTA - SINGLES :  Cluj-Napoca (Romania),hard,header
07.02. 14:40,Arango E.,0,0,1,,,,1,2,61%,45% (17/38),25% (6/24),50% (7/14),36% (10/28),50% (5/10),100% (1/1),37% (23/62),39% (15/38),38% (38/100),4,0,0% (0/7),17% (1/6),8% (1/13),[],"['1', '3']",[],[],[],4.54
07.02. 14:40,Cocciaretto E.,2,6,6,,,,1,2,74%,64% (18/28),50% (5/10),0% (0/1),55% (21/38),75% (18/24),50% (7/14),61% (23/38),63% (39/62),62% (62/100),6,0,83% (5/6),100% (7/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.21
